titulo,autoria,link,fonte,data
Jovem pega sarna humana após usar aparelhos na academia; saiba prevenir,Beatrice Teizen,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/jovem-pega-sarna-humana-apos-usar-aparelhos-na-academia-saiba-como-prevenir/,cnn, 26/04/2023 às 17:22 | Atualizado 26/04/2023 às 17:41 
Lula sanciona lei que prevê inclusão de raça e etnia em registros de empregados,Pedro Peduzzi,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/lula-sanciona-lei-que-preve-inclusao-de-raca-e-etnia-em-registros-de-empregados/,cnn, 24/04/2023 às 14:48 
Manchester United e Newcastle ficam muito próximos de vagas na Liga dos Campeões,Luccas Oliveira,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/esportes/manchester-united-e-newcastle-ficam-muito-proximos-de-vaga-na-liga-dos-campeoes/,cnn, 27/04/2023 às 18:41 
"Thiago Brennand deve voltar ao Brasil algemado por mãos e pés, de acordo com a polícia",Carolina Figueiredo,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/thiago-brennand-deve-voltar-ao-brasil-algemado-pelas-maos-e-pelos-pes-de-acordo-com-a-policia/,cnn, 27/04/2023 às 12:23 
O que acontece no corpo humano durante o sono? Veja importância de dormir bem,Lucas Rocha,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/o-que-acontece-no-corpo-humano-durante-o-sono-entenda-importancia-de-dormir-bem/,cnn, 27/04/2023 às 15:09 
Ricardo Cavaliere é eleito para a ABL; Mauricio de Sousa recebe apenas dois votos,Fernanda Pinotti,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/ricardo-cavaliere-e-eleito-para-a-academia-brasileira-de-letras-mauricio-de-sousa-perde-disputa/,cnn, 27/04/2023 às 17:35 
"Música no trânsito pode relaxar, mas desconcentração é um risco, dizem especialistas",Lucas Rocha,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/musica-no-transito-pode-relaxar-mas-desconcentracao-e-um-risco-alertam-especialistas/,cnn, 27/04/2023 às 04:00 | Atualizado 27/04/2023 às 17:33 
Elton John lidera ranking das turnês mais lucrativas de todos os tempos; veja lista,Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/entretenimento/elton-john-lidera-ranking-das-turnes-mais-lucrativas-de-todos-os-tempos-veja-lista-completa/,cnn, 27/04/2023 às 12:19 
"Fantasia, terror e comédia: o que chega aos cinemas brasileiros nesta quinta",Marina Toledo,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/entretenimento/fantasia-terror-e-comedia-o-que-chega-aos-cinemas-brasileiros-nesta-quinta-27/,cnn, 27/04/2023 às 07:45 
Polícia Civil prende 161 pessoas em operação contra receptação de peças roubadas,Sem Autor,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/policia-civil-de-sao-paulo-prende-161-pessoas-em-operacao-contra-receptacao-de-pecas-roubadas/,cnn, 27/04/2023 às 15:19 
"Após fim de contrato com a Warner, Anitta anuncia nova gravadora",Leticia Pazero,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/entretenimento/apos-fim-de-contrato-conturbado-com-a-warner-anitta-anuncia-nova-gravadora/,cnn, 27/04/2023 às 17:21 
Congresso Nacional inicia temporada de CPIs simultâneas; veja lista,Douglas Porto,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/congresso-nacional-inicia-temporada-de-cpis-simultaneas/,cnn, 27/04/2023 às 04:00 | Atualizado 27/04/2023 às 00:19 
Fernando Alonso responde sobre possível affair com Taylor Swift,Giovana Rampini,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/entretenimento/novo-romance-de-taylor-swift-fernando-alonso-responde-sobre-possivel-affair/,cnn, 27/04/2023 às 20:06 
"Nasce Louetta, a primeira neta dos atores Bruce Willis e Demi Moore",Andressa Persan,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/entretenimento/nasce-louetta-a-primeira-neta-dos-atores-bruce-willis-e-demi-moore/,cnn, 27/04/2023 às 13:22 | Atualizado 27/04/2023 às 15:09 
"Juliana Paes, Maisa e Iza: veja famosas que assumiram seus cabelos naturais",Brenda Mendes,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/entretenimento/juliana-paes-maisa-e-iza-veja-famosas-que-assumiram-seus-cabelos-naturais/,cnn, 27/04/2023 às 17:15 
Marco Antonio Villa: Não tem como levar depoimento de Bolsonaro a sério,Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/marco-antonio-villa-nao-tem-como-levar-depoimento-de-bolsonaro-a-serio/,cnn, 27/04/2023 às 12:05 
STF retoma em 3 de maio julgamento sobre validade de perdão a Daniel Silveira,Lucas Mendes,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/stf-retoma-em-3-de-maio-julgamento-sobre-validade-de-perdao-a-daniel-silveira/,cnn, 27/04/2023 às 18:36 
GSI anuncia mais 58 exonerações; total de desligamentos chega a 87,"Redação, O Estado de S. Paulo, do Estadão Conteúdo",https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/governo-lula-amplia-limpeza-no-gsi-e-total-de-demitidos-chega-a-87/,cnn, 27/04/2023 às 17:33 | Atualizado 27/04/2023 às 17:36 
Polícia de SP prende suspeitos de aplicar golpe do “buquê de aniversário”,Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/policia-de-sp-prende-tres-homens-suspeitos-de-aplicar-golpe-do-buque-de-aniversario/,cnn, 27/04/2023 às 19:27 
"Cardozo diz que Bolsonaro ""defende golpe""; Copolla, que Lula ""bajula"" ditaduras",Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/o-grande-debate-cardozo-diz-que-bolsonaro-defende-golpe-copolla-que-lula-bajula-ditaduras/,cnn, 27/04/2023 às 14:28 
CNN Sinais Vitais deste sábado aborda os riscos do câncer de intestino,Lucas Rocha,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/cnn-sinais-vitais-aborda-os-riscos-do-cancer-de-intestino/,cnn, 27/04/2023 às 04:00 | Atualizado 27/04/2023 às 11:10 
"Bolsonaro diz que postagem acidental ocorreu por ""clicar duas vezes em compartilhar""",Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/bolsonaro-diz-que-postagem-acidental-ocorreu-por-clicar-duas-vezes-na-opcao-compartilhar-e-que-enviara-video-ilustrativo-de-procedimento/,cnn, 27/04/2023 às 13:26 
Sexo oral causa câncer de garganta? Entenda os riscos que podem estar associados,Lucas Rocha,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/saude/sexo-oral-causa-cancer-de-garganta-entenda-os-riscos/,cnn, 27/04/2023 às 16:16 
BC da Argentina eleva juros a 91% ao ano após inflação de 104%,"Gabriel Bueno da Costa e Laís Adriana, do Estadão Conteúdo",https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/economia/bc-da-argentina-eleva-juros-a-91-ao-ano-apos-pais-registrar-inflacao-de-104/,cnn, 27/04/2023 às 18:24 
Jornalista e economista Elaine Bast é a nova analista de economia da CNN Brasil,Sem Autor,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/economia/elaine-bast-e-a-nova-analista-de-economia-da-cnn-brasil/,cnn, 27/04/2023 às 10:18 
Cusco: as histórias e os sabores da antiga capital do Império Inca,Daniela Filomeno,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/viagemegastronomia/cnn-viagem-gastronomia/cusco-as-historias-e-os-sabores-da-antiga-capital-do-imperio-inca/,cnn,"
                            27/04/2023 às 12:35                        "
Partidos de direita articulam coalizão na Finlândia ,Da Reuters,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/internacional/partidos-de-direita-articulam-coalizao-na-finlandia/,cnn, 27/04/2023 às 19:11 
Imagens de satélite mostram que Rússia esvaziou base militar na Crimeia,Vasco Cotovio | Yulia Kesaieva,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/internacional/imagens-de-satelite-mostram-que-russia-esvaziou-base-militar-na-crimeia/,cnn, 27/04/2023 às 10:07 
"Muito além da mobilidade, Localiza Meoo amplia oferta de benefícios para assinantes",Sem Autor,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/por-localiza-meoo-muito-alem-da-mobilidade-localiza-meoo-amplia-a-oferta-de-beneficios-para-seus-assinantes/,cnn, 24/04/2023 às 09:46 | Atualizado 24/04/2023 às 13:55 
STF confirma validade de piso salarial nacional para agentes de saúde,Lucas Mendes,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/stf-confirma-validade-de-piso-salarial-nacional-para-agentes-de-saude/,cnn, 27/04/2023 às 18:44 
Caixa anuncia R$ 30 milhões para projetos culturais; saiba como se inscrever,Leonardo Ribbeiro,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/economia/caixa-anuncia-r-30-milhoes-em-incentivo-a-projetos-culturais-saiba-como-se-inscrever/,cnn, 27/04/2023 às 19:06 
"Girão tenta entregar feto ao ministro Silvio de Almeida no Senado: ""Isso é um escárnio""",Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/girao-tenta-entregar-feto-para-silvio-de-almeida-em-audiencia-no-senado/,cnn, 27/04/2023 às 12:04 
Plataforma Inovation Academy democratiza o ensino de Tecnologia no Brasil,Sem Autor,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/por-inovation-academy-plataforma-inovation-academy-democratiza-o-ensino-de-tecnologia-no-brasil/,cnn, 24/04/2023 às 09:00 | Atualizado 24/04/2023 às 12:13 
Homem que vazou fotos do corpo de Marília vai responder também por nazismo,Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/nacional/mp-denuncia-acusado-de-divulgar-fotos-do-corpo-de-marilia-mendonca-ele-tambem-respondera-por-nazismo-e-racismo/,cnn, 27/04/2023 às 16:20 
"Saiba quem é o general Amaro, escolhido por Lula para ser o novo ministro do GSI",Douglas Porto,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/saiba-quem-e-o-general-amaro-convidado-por-lula-para-ser-o-novo-ministro-do-gsi/,cnn, 27/04/2023 às 19:26 
TCU vai atuar em impasse deixado por governo Bolsonaro que encarece contas de luz,Danilo Moliterno,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/economia/tcu-vai-atuar-em-impasse-deixado-por-governo-bolsonaro-que-encarece-contas-de-luz/,cnn, 27/04/2023 às 18:49 
Defesa diz que processará quem ameaçar Cuca e que vai contratar escritórios na Suíça,Cleber Rodrigues,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/esportes/escritorios-na-suica-e-processos-por-calunia-o-plano-de-cuca-para-se-defender/,cnn, 27/04/2023 às 16:30 
Paciente com câncer tem remissão total após tratamento desenvolvido por brasileiro,Da CNN,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/saude/paciente-com-cancer-terminal-tem-remissao-total-da-doenca-apos-tratamento-desenvolvido-por-brasileiro/,cnn, 26/04/2023 às 19:00 | Atualizado 28/04/2023 às 08:08 
Whatsapp começa a testar recurso de transcrição de áudio ,Da CNN,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/tecnologia/whatsapp-comeca-a-testar-recurso-de-transcricao-de-audio/,cnn, 27/04/2023 às 18:51 
Governo e oposição disputam vagas para CPI do 8 de janeiro; veja nomes cotados,Da CNN,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/politica/governo-e-oposicao-disputam-vagas-para-cpi-do-8-de-janeiro-veja-nomes-cotados/,cnn, 28/04/2023 às 04:00 
Novo chatbot de inteligência artificial do Snapchat preocupa pais de adolescentes,Samantha Murphy Kelly,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/tecnologia/novo-chatbot-de-inteligencia-artificial-do-snapchat-preocupa-pais-de-adolescentes/,cnn, 28/04/2023 às 02:17 | Atualizado 28/04/2023 às 02:18 
Telegram recorre de suspensão após não entregar dados de grupos neonazistas; entenda,Da CNN,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/nacional/telegram-recorre-de-suspensao-no-brasil-apos-nao-entregar-dados-de-grupos-neonazistas-entenda/,cnn, 28/04/2023 às 18:15 
Ex-funcionários de Big Techs revelam que redes sociais são projetadas para viciar usuários,Flávia Martins,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/tecnologia/ex-funcionarios-de-big-techs-revelam-que-redes-sociais-sao-projetadas-para-viciar-usuarios/,cnn, 26/04/2023 às 04:00 | Atualizado 28/04/2023 às 15:41 
Lula escolhe general Amaro para comandar GSI,Teo Cury,https://web.archive.org/web/20230427232735/https://www.cnnbrasil.com.br/politica/lula-convida-general-amaro-para-comandar-gsi/,cnn, 27/04/2023 às 19:15 
"Letícia Vidica: Sim, mano! Respeita as minas!",Letícia Vidica,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/nacional/respeita-as-minas/,cnn, 28/04/2023 às 04:00 
"Ex-árbitro, Sandro Meira Ricci elege torcida ""mais chata"" do Brasil; veja",Pedro Leite,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/esportes/ex-arbitro-sandro-meira-ricci-elege-torcida-mais-chata-do-brasil/,cnn, 28/04/2023 às 16:48 
Leclerc quebra hegemonia da Red Bull e conquista pole do GP do Azerbaijão,Ricardo Gouveia,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/esportes/formula-1-leclerc-quebra-hegemonia-da-red-bull-e-conquista-pole-do-gp-do-azerbaijao/,cnn, 28/04/2023 às 16:32 
Anvisa alerta sobre circulação de fake news sobre vacina bivalente,Lucas Rocha,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/saude/anvisa-alerta-sobre-circulacao-de-fake-news-sobre-vacina-bivalente-contra-covid-19/,cnn, 28/04/2023 às 15:45 
Anafilaxia: entenda as causas e os riscos de reações alérgicas graves,Lucas Rocha,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/saude/anafilaxia-entenda-as-causas-e-riscos-da-reacao-alergica-grave/,cnn, 28/04/2023 às 12:38 
"Ronaldinho Gaúcho visita a Arena MRV, nova casa do Atlético-MG",Hugo Lobão | Henrique André,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/esportes/ronaldinho-gaucho-vista-arena-mrv-nova-casa-do-atletico-mg/,cnn, 28/04/2023 às 12:52 
"Litoral do Brasil está mais quente e exposto a eventos extremos, diz estudo",Luciana Constantino,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/nacional/litoral-do-brasil-esta-mais-quente-e-exposto-a-eventos-extremos-diz-estudo/,cnn, 28/04/2023 às 09:37 
"Tetraplégica há três décadas, senadora Mara Gabrilli caminha com exoesqueleto",Adriana De Luca,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/saude/tetraplegica-ha-tres-decadas-senadora-mara-gabrilli-caminha-com-exoesqueleto/,cnn, 28/04/2023 às 22:20 
"Veja o ""desabafo"" de Adriel em porta de vestiário após críticas da torcida",Jairo Nascimento,https://web.archive.org/web/20230429014339/https://www.cnnbrasil.com.br/esportes/veja-o-soco-de-adriel-em-porta-do-vestiario-apos-criticas-da-torcida-do-gremio/,cnn, 28/04/2023 às 16:37 
